frame,edge_density,f_v,w_v,d_u_m,P_u,yolo_has_det,yolo_conf,yolo_dist_m,yolo_is_obst,rf_prob_obstacle,Decision
222,0.004,0.000,0.008,1.471,0.086,0,0.000,,0,1.000,OBSTACLE
223,0.035,0.000,0.070,1.669,0.062,0,0.000,,0,1.000,OBSTACLE
224,0.001,0.000,0.003,2.614,0.013,0,0.000,,0,0.020,FREE
225,0.050,0.000,0.101,1.390,0.099,1,0.811,1.994,0,1.000,OBSTACLE
226,0.099,0.000,0.198,0.802,0.263,1,0.401,1.205,0,1.000,OBSTACLE
227,0.032,0.000,0.064,1.353,0.105,1,0.912,1.348,0,1.000,OBSTACLE
228,0.079,0.000,0.158,1.035,0.178,1,0.902,1.310,0,1.000,OBSTACLE
229,0.020,0.000,0.039,1.890,0.043,0,0.000,,0,0.010,FREE
230,0.044,0.000,0.088,1.217,0.132,1,0.651,1.504,0,1.000,OBSTACLE
231,0.024,0.000,0.049,2.109,0.030,1,0.914,1.974,0,0.000,FREE
232,0.048,0.000,0.096,1.637,0.065,0,0.000,,0,1.000,OBSTACLE
233,0.042,0.000,0.083,1.661,0.063,1,0.871,1.883,0,1.000,OBSTACLE
234,0.060,0.000,0.119,1.291,0.116,1,0.791,2.523,0,1.000,OBSTACLE
235,0.028,0.000,0.057,1.087,0.163,1,0.632,0.995,0,1.000,OBSTACLE
236,0.022,0.000,0.044,2.025,0.034,1,0.446,1.526,0,0.000,FREE
237,0.061,0.000,0.122,2.627,0.013,1,0.815,2.178,0,0.000,FREE
238,0.056,0.000,0.112,1.726,0.056,1,0.885,1.883,0,1.000,OBSTACLE
239,0.062,0.000,0.124,1.766,0.053,1,0.707,1.607,0,1.000,OBSTACLE
240,0.032,0.000,0.064,1.431,0.092,1,0.833,3.150,0,1.000,OBSTACLE
241,0.059,0.000,0.118,1.662,0.063,1,0.673,1.248,0,1.000,OBSTACLE
242,0.147,0.000,0.294,1.589,0.071,1,0.858,1.368,0,1.000,OBSTACLE
243,0.046,0.000,0.091,1.686,0.060,0,0.000,,0,1.000,OBSTACLE
244,0.025,0.000,0.050,1.467,0.087,1,0.855,0.957,0,1.000,OBSTACLE
245,0.020,0.000,0.040,1.499,0.082,1,0.894,1.576,0,1.000,OBSTACLE
246,0.050,0.000,0.099,2.089,0.031,1,0.403,2.120,0,0.000,FREE
247,0.035,0.000,0.070,1.269,0.121,1,0.319,1.139,0,1.000,OBSTACLE
248,0.014,0.000,0.029,2.269,0.023,0,0.000,,0,0.000,FREE
249,0.018,0.000,0.036,1.370,0.102,1,0.819,1.262,0,1.000,OBSTACLE
250,0.045,0.000,0.089,1.358,0.104,1,0.695,1.329,0,1.000,OBSTACLE
251,0.049,0.000,0.097,2.020,0.035,0,0.000,,0,0.000,FREE
252,0.064,0.000,0.127,1.661,0.063,1,0.775,1.450,0,1.000,OBSTACLE
253,0.074,0.000,0.147,1.427,0.093,1,0.294,2.051,0,1.000,OBSTACLE
254,0.017,0.000,0.033,1.977,0.037,0,0.000,,0,0.000,FREE
255,0.005,0.000,0.010,1.298,0.115,1,0.581,1.373,0,1.000,OBSTACLE
256,0.005,0.000,0.010,2.125,0.029,0,0.000,,0,0.000,FREE
257,0.123,0.000,0.245,0.917,0.217,1,0.673,0.930,0,1.000,OBSTACLE
258,0.045,0.000,0.089,2.507,0.015,1,0.930,2.472,0,0.000,FREE
259,0.037,0.000,0.073,2.200,0.026,0,0.000,,0,0.000,FREE
260,0.011,0.000,0.023,2.266,0.023,1,0.312,2.874,0,0.000,FREE
261,0.020,0.000,0.040,2.354,0.020,0,0.000,,0,0.000,FREE
262,0.048,0.000,0.095,0.979,0.196,1,0.925,1.021,0,1.000,OBSTACLE
263,0.031,0.000,0.062,1.613,0.068,0,0.000,,0,1.000,OBSTACLE
264,0.000,0.000,0.000,1.298,0.115,1,0.800,1.409,0,0.990,OBSTACLE
265,0.010,0.000,0.020,1.362,0.103,0,0.000,,0,1.000,OBSTACLE
266,0.009,0.000,0.018,1.795,0.050,1,0.504,1.327,0,0.860,OBSTACLE
267,0.011,0.000,0.023,1.331,0.109,1,0.448,1.192,0,1.000,OBSTACLE
